PID,AGE,GENDER,ZIP CODE,COUNTY,PROGRAM START DATE,POSITION,JOB START DATE,JOB TERMINATION DATE,WAGE,HOURS PER WEEK,EDUCATION,Quarter and Year
PID02994,29,male,11692,Arverne,2015/6/24,Administrative,2015/9/3,,15.6,30,HS Graduate,Q3-2015
PID00542,50,male,10456,Bronx,2015/7/4,Administrative,2015/8/3,,8.75,30,HS Graduate,Q3-2015
PID03451,50,male,11420,South Ozone Park,2014/8/29,Administrative,2015/9/8,,16,35,HS Graduate,Q3-2015
PID00543,50,male,10456,Bronx,2015/4/25,Administrative,2015/8/3,,8.75,30,HS Graduate,Q3-2015
PID11335,40,male,11220,Brooklyn,2015/3/19,Administrative,2015/8/17,,13.92,40,HS Graduate,Q3-2015
PID05307,26,male,11693,Far Rockaway,2015/4/5,Administrative,2015/9/16,,16.5,35,HS Graduate,Q3-2015
PID05308,26,male,11693,Far Rockaway,2015/8/13,Administrative,2015/9/16,,16.5,35,HS Graduate,Q3-2015
PID15814,33,male,11413,Springfield Gardens,2015/1/21,Administrative,2015/9/14,,20,35,HS Graduate,Q3-2015
PID17406,22,female,11691,Far Rockaway,2014/4/28,Administrative,2014/10/2,2014/10/24,8,25,HS Graduate,Q4-2014
PID01003,31,female,11433,Jamaica,2014/1/8,Administrative,2014/5/8,,12,40,HS Graduate,Q2-2014
PID00547,38,female,11216,Brooklyn,2013/5/23,Administrative,2014/6/1,,13,30,HS Graduate,Q2-2014
PID01004,31,female,11433,Jamaica,2014/3/23,Administrative,2014/5/8,,12,40,HS Graduate,Q2-2014
PID15261,30,female,11226,Brooklyn,2014/5/18,Administrative,2015/1/12,,10,30,HS Graduate,Q1-2015
PID16399,48,male,11691,Far Rockaway,2014/3/18,Administrative,2014/7/1,,15,25,HS Graduate,Q3-2014
PID06715,27,female,11233,Brooklyn,2014/11/2,Administrative,2015/8/24,,11,35,HS Graduate,Q3-2015
PID00482,23,female,11212,Brooklyn,2015/8/6,Administrative,2015/10/26,,8.75,30,HS Graduate,Q4-2015
PID15263,28,male,11691,Far Rockaway,2014/5/31,Administrative,2014/12/29,,8.75,20,HS Graduate,Q4-2014
PID15264,28,male,11691,Far Rockaway,2013/11/26,Administrative,2014/12/29,,8.75,20,HS Graduate,Q4-2014
PID04900,30,female,11229,Brooklyn,2014/6/1,Administrative,2014/8/15,,8,35,HS Graduate,Q3-2014
PID19785,26,female,11233,Brooklyn,2015/6/15,Administrative,2015/7/17,2015/7/22,10,40,HS Graduate,Q3-2015
PID19793,39,female,11221,Brooklyn,2013/8/29,Administrative,2013/9/26,2014/1/17,17,20,HS Graduate,Q3-2013
PID03444,37,female,11417,Ozone Park,2014/5/17,Administrative,2014/10/20,2015/2/18,13,40,HS Graduate,Q4-2014
PID06596,45,female,11233,Brooklyn,2014/9/20,Administrative,2015/1/5,,17.78,35,HS Graduate,Q1-2015
